Name,Editor(Develop),Editor(Release),Mono(Develop),Mono(Release),IL2CPP(Develop),IL2CPP(Release)
TypePerformanceTest.GetConstructor_Legacy,11.02863,8.641541,9.671722,9.239899,5.195313,4.960938
TypePerformanceTest.GetConstructors_Fast,1.027222,0.3153687,0.269043,0.3052673,0.328125,0.328125
TypePerformanceTest.GetConstructors_Fast_Optimized,0.03436279,0.004882813,0.009674072,0.01330566,0.0078125,0.0078125
TypePerformanceTest.GetConstructors_Legacy,8.901306,5.757019,5.523285,6.040863,4.097656,3.847656
TypePerformanceTest.GetConstructorWithArg_ConstructorOf,0.6296997,0.5154419,0.574585,0.5855408,0.203125,0.1796875
TypePerformanceTest.GetConstructorWithArg_Fast,1.163757,0.3215332,0.2998047,0.2920837,0.3671875,0.3671875
TypePerformanceTest.GetConstructorWithArg_Fast_Optimized,0.04205322,0.003723145,0.01013184,0.009552002,0.0078125,0.0078125
TypePerformanceTest.GetConstructorWithArg_Legacy,22.91101,17.83759,19.35742,18.45102,10.07031,9.703125
TypePerformanceTest.GetCustomAttributes_Fast,1.112488,0.3201294,0.2653503,0.3072205,0.3671875,0.328125
TypePerformanceTest.GetCustomAttributes_Fast_Optimized,0.09576416,0.01159668,0.00970459,0.01333618,0.015625,0.015625
TypePerformanceTest.GetCustomAttributes_Legacy,10.14105,9.399475,8.99704,10.48911,4.070313,3.722656
TypePerformanceTest.GetCustomAttributesData_Fast,1.203064,0.3256226,0.270813,0.2994995,0.3242188,0.328125
TypePerformanceTest.GetCustomAttributesData_Fast_Optimized,0.1049805,0.00579834,0.009887695,0.01351929,0.015625,0.015625
TypePerformanceTest.GetCustomAttributesData_Legacy,9.887878,9.317139,9.092407,10.49164,3.589844,3.636719
TypePerformanceTest.GetDeclaringType_Fast,0.1915283,0.08312988,0.08596802,0.09811401,0.0625,0.0546875
TypePerformanceTest.GetDeclaringType_Fast_Optimized,0.09802246,0.004516602,0.009613037,0.0133667,0.015625,0.015625
TypePerformanceTest.GetDeclaringType_Legacy,0.1340332,0.08459473,0.08966064,0.09732056,0.0546875,0.05078125
TypePerformanceTest.GetDefaultMembers_Fast,1.187134,0.3078003,0.2961121,0.3085632,0.328125,0.3710938
TypePerformanceTest.GetDefaultMembers_Fast_Optimized,0.0802002,0.004272461,0.01373291,0.01367188,0.01171875,0.01953125
TypePerformanceTest.GetDefaultMembers_Legacy,71.15973,44.65314,46.37469,50.05466,43.66406,43.39453
TypePerformanceTest.GetElementType_Fast,0.2207031,0.1034546,0.1089783,0.120636,0.0546875,0.05859375
TypePerformanceTest.GetElementType_Fast_Optimized,0.09222412,0.01153564,0.00982666,0.0138855,0.015625,0.015625
TypePerformanceTest.GetElementType_Legacy,0.2098389,0.09552002,0.1054993,0.1164856,0.046875,0.046875
TypePerformanceTest.GetEnumNames_Fast,1.148743,0.3175659,0.265625,0.3050232,0.3242188,0.328125
TypePerformanceTest.GetEnumNames_Fast_Optimized,0.0758667,0.01153564,0.01004028,0.01348877,0.015625,0.015625
TypePerformanceTest.GetEnumNames_Legacy,1.667542,0.9631348,0.9060059,0.9467468,0.5625,0.5507813
TypePerformanceTest.GetEnumUnderlyingType_Fast,1.02124,0.6543579,0.7434082,0.7383728,0.3828125,0.453125
TypePerformanceTest.GetEnumUnderlyingType_Fast_Optimized,0.06744385,0.008544922,0.01373291,0.01416016,0.015625,0.015625
TypePerformanceTest.GetEnumUnderlyingType_Legacy,0.9984131,0.6523438,0.7420044,0.7382202,0.3828125,0.453125
TypePerformanceTest.GetEvent_Fast,1.187866,0.3866577,0.3729248,0.3605347,0.3671875,0.328125
TypePerformanceTest.GetEvent_Fast_Optimized,0.05084229,0.003723145,0.00958252,0.009735107,0.0078125,0.0078125
TypePerformanceTest.GetEvent_Legacy,25.4082,20.79578,22.92136,22.7738,18.42188,15.85156
TypePerformanceTest.GetEvents_Fast,1.04718,0.3098145,0.2581482,0.3061218,0.3203125,0.328125
TypePerformanceTest.GetEvents_Fast_Optimized,0.04223633,0.01165771,0.009521484,0.0135498,0.0078125,0.0078125
TypePerformanceTest.GetEvents_Legacy,44.19324,37.34741,39.58484,43.28168,26.10156,25.03906
TypePerformanceTest.GetField_Fast,1.230896,0.3736572,0.3638,0.3774109,0.3671875,0.375
TypePerformanceTest.GetField_Fast_Optimized,0.04370117,0.00402832,0.009490967,0.009613037,0.0078125,0.0078125
TypePerformanceTest.GetField_FieldOf,0.5621948,0.5003052,0.5515747,0.5567932,0.171875,0.1640625
TypePerformanceTest.GetField_Legacy,5.512817,3.708191,3.80069,3.789642,6.671875,6.617188
TypePerformanceTest.GetFields_Fast,1.045715,0.3092651,0.2612915,0.3072205,0.3242188,0.328125
TypePerformanceTest.GetFields_Fast_Optimized,0.04229736,0.004455566,0.009887695,0.01348877,0.01171875,0.0078125
TypePerformanceTest.GetFields_Legacy,15.18994,9.161743,8.778564,9.9729,8.660156,8.605469
TypePerformanceTest.GetFullName_Fast,0.6483154,0.2861328,0.2880249,0.3279114,0.1484375,0.140625
TypePerformanceTest.GetFullName_Fast_Optimized,0.08306885,0.01153564,0.01031494,0.01364136,0.0234375,0.01171875
TypePerformanceTest.GetFullName_Legacy,0.6211548,0.2860107,0.2888489,0.3269348,0.1367188,0.1328125
TypePerformanceTest.GetGenericArguments_Fast,1.180359,0.3015137,0.3032532,0.3035889,0.328125,0.328125
TypePerformanceTest.GetGenericArguments_Fast_Optimized,0.09545898,0.01135254,0.009643555,0.01364136,0.015625,0.01171875
TypePerformanceTest.GetGenericArguments_Legacy,0.2788086,0.2183228,0.219696,0.2505493,0.4023438,0.3867188
TypePerformanceTest.GetGenericTypeArguments_Fast,1.150635,0.305603,0.2612915,0.2961121,0.3710938,0.328125
TypePerformanceTest.GetGenericTypeArguments_Fast_Optimized,0.09661865,0.01135254,0.01016235,0.01345825,0.01953125,0.015625
TypePerformanceTest.GetGenericTypeArguments_Legacy,1.240967,1.189636,1.120544,1.195587,0.6992188,0.6015625
TypePerformanceTest.GetGenericTypeDefinition_Fast,0.9504395,0.7667236,0.7496643,0.8711853,0.1953125,0.2070313
TypePerformanceTest.GetGenericTypeDefinition_Fast_Optimized,0.07250977,0.005126953,0.01342773,0.01358032,0.01953125,0.01171875
TypePerformanceTest.GetGenericTypeDefinition_Legacy,0.9017944,0.7670288,0.7487488,0.8718567,0.1875,0.203125
TypePerformanceTest.GetGUID_Fast,27.68701,27.56506,8.665741,10.18518,0.375,0.3203125
TypePerformanceTest.GetGUID_Fast_Optimized,0.09204102,0.01141357,0.01367188,0.01351929,0.01953125,0.01953125
TypePerformanceTest.GetGUID_Legacy,27.92908,27.5744,8.677856,10.2963,0.375,0.3242188
TypePerformanceTest.GetHashCode_Fast,0.3045654,0.02758789,0.0302124,0.02960205,0.0546875,0.05859375
TypePerformanceTest.GetHashCode_Fast_Optimized,0.1032715,0.004516602,0.01000977,0.0138855,0.01953125,0.01953125
TypePerformanceTest.GetHashCode_Legacy,0.2872314,0.02703857,0.02902222,0.02862549,0.05078125,0.05078125
TypePerformanceTest.GetInterfaces_Fast,1.106079,0.3070068,0.2958069,0.3082275,0.328125,0.3710938
TypePerformanceTest.GetInterfaces_Fast_Optimized,0.08081055,0.005065918,0.01351929,0.01367188,0.01953125,0.015625
TypePerformanceTest.GetInterfaces_Legacy,1.755737,1.714417,1.918915,1.807678,1.144531,1.277344
TypePerformanceTest.GetMember_Fast,1.412964,0.375061,0.3276062,0.3649597,0.328125,0.3671875
TypePerformanceTest.GetMember_Fast_Optimized,0.05755615,0.01171875,0.01037598,0.01379395,0.0078125,0.0078125
TypePerformanceTest.GetMember_Legacy,43.04163,21.67047,20.27274,21.65881,38.34375,37.11719
TypePerformanceTest.GetMembers_Fast,1.06311,0.3017578,0.2581177,0.299408,0.328125,0.328125
TypePerformanceTest.GetMembers_Fast_Optimized,0.03717041,0.005126953,0.01010132,0.01342773,0.01171875,0.0078125
TypePerformanceTest.GetMembers_Legacy,143.5377,99.57275,101.3628,112.117,1051.848,1089.559
TypePerformanceTest.GetMemberType_Fast,0.288208,0.1107788,0.1130981,0.1284485,0.078125,0.0703125
TypePerformanceTest.GetMemberType_Fast_Optimized,0.08026123,0.004638672,0.01342773,0.0213623,0.015625,0.01953125
TypePerformanceTest.GetMemberType_Legacy,0.2272339,0.1133423,0.1131592,0.124939,0.0703125,0.06640625
TypePerformanceTest.GetMetadataToken_Fast,0.3615112,0.2633057,0.2424622,0.3109436,0.06640625,0.0546875
TypePerformanceTest.GetMetadataToken_Fast_Optimized,0.07244873,0.01153564,0.0133667,0.01345825,0.01953125,0.015625
TypePerformanceTest.GetMetadataToken_Legacy,0.378479,0.2520752,0.230896,0.2939148,0.05859375,0.046875
TypePerformanceTest.GetMethod_Fast,1.21283,0.355896,0.3599243,0.3635864,0.3671875,0.3671875
TypePerformanceTest.GetMethod_Fast_Optimized,0.04522705,0.005126953,0.0133667,0.01724243,0.0078125,0.0078125
TypePerformanceTest.GetMethod_Legacy,7.408386,5.128479,5.801422,5.674866,19.39063,19.04688
TypePerformanceTest.GetMethod_MethodOf,0.6346436,0.5161133,0.5743713,0.5830994,0.21875,0.1796875
TypePerformanceTest.GetMethods_Fast,1.131226,0.3297119,0.2654419,0.3051147,0.3203125,0.328125
TypePerformanceTest.GetMethods_Fast_Optimized,0.03424072,0.00567627,0.009857178,0.01721191,0.0078125,0.0078125
TypePerformanceTest.GetMethods_Legacy,48.00134,29.69763,28.30237,32.25174,982.3164,1027.473
TypePerformanceTest.GetMethodWithArg_Fast,1.234741,0.3476563,0.3425293,0.3399048,0.375,0.328125
TypePerformanceTest.GetMethodWithArg_Fast_Optimized,0.03656006,0.003967285,0.009552002,0.009490967,0.0078125,0.0078125
TypePerformanceTest.GetMethodWithArg_Legacy,31.08954,23.47833,27.72583,26.44724,34.70313,29.67188
TypePerformanceTest.GetMethodWithArg_MethodOf,0.7434082,0.5110474,0.5742188,0.6485596,0.2109375,0.15625
TypePerformanceTest.GetModule_Fast,0.519043,0.4853516,0.4879761,0.585968,0.1757813,0.1523438
TypePerformanceTest.GetModule_Fast_Optimized,0.09301758,0.00769043,0.01040649,0.01333618,0.01953125,0.015625
TypePerformanceTest.GetModule_Legacy,0.5164185,0.4859009,0.4913635,0.5860901,0.1679688,0.1523438
TypePerformanceTest.GetName_Fast,1.280762,1.216858,1.304657,1.283508,1.269531,1.140625
TypePerformanceTest.GetName_Fast_Optimized,0.08764648,0.007202148,0.01342773,0.01339722,0.015625,0.01171875
TypePerformanceTest.GetName_Legacy,1.248108,1.217773,1.260803,1.191589,1.328125,1.128906
TypePerformanceTest.GetNamespace_Fast,2.051819,2.0672,1.926392,2.057007,1.773438,1.597656
TypePerformanceTest.GetNamespace_Fast_Optimized,0.0892334,0.01153564,0.01370239,0.01345825,0.015625,0.01953125
TypePerformanceTest.GetNamespace_Legacy,2.052734,2.036316,1.924469,2.062134,1.800781,1.523438
TypePerformanceTest.GetNestedType_Fast,1.203064,0.3549194,0.364502,0.3683777,0.3671875,0.3671875
TypePerformanceTest.GetNestedType_Fast_Optimized,0.02880859,0.004943848,0.0133667,0.01397705,0.0078125,0.0078125
TypePerformanceTest.GetNestedType_Legacy,10.7345,6.246155,5.912537,6.322632,7.40625,7.875
TypePerformanceTest.GetNestedType_TypeOf,0.04278564,0.004272461,0.009979248,0.009857178,0.1875,0.2109375
TypePerformanceTest.GetNestedTypes_Fast,1.0047,0.3056641,0.2579651,0.2987366,0.328125,0.328125
TypePerformanceTest.GetNestedTypes_Fast_Optimized,0.03735352,0.01153564,0.01351929,0.01339722,0.01171875,0.0078125
TypePerformanceTest.GetNestedTypes_Legacy,6.363159,3.785522,3.475342,3.836456,3.628906,3.640625
TypePerformanceTest.GetProperties_Fast,1.136108,0.3076782,0.2651367,0.3069763,0.3476563,0.328125
TypePerformanceTest.GetProperties_Fast_Optimized,0.03833008,0.005310059,0.01364136,0.01364136,0.0078125,0.01171875
TypePerformanceTest.GetProperties_Legacy,9.786316,6.304504,5.946899,6.491821,4.078125,4.058594
TypePerformanceTest.GetProperty_Fast,1.333557,0.378479,0.3931274,0.3904419,0.375,0.375
TypePerformanceTest.GetProperty_Fast_Optimized,0.03564453,0.005432129,0.009521484,0.009521484,0.0078125,0.015625
TypePerformanceTest.GetProperty_Legacy,6.989807,4.442932,4.908936,4.87027,7.484375,7.132813
TypePerformanceTest.GetReflectedType_Fast,0.1872559,0.08807373,0.09411621,0.1048889,0.06640625,0.05859375
TypePerformanceTest.GetReflectedType_Fast_Optimized,0.08898926,0.003967285,0.01345825,0.01333618,0.015625,0.015625
TypePerformanceTest.GetReflectedType_Legacy,0.1577148,0.08807373,0.09347534,0.1049194,0.0625,0.0546875
TypePerformanceTest.GetStructLayoutAttribute_Fast,1.781494,0.9542847,0.9328308,0.9421997,0.53125,0.4648438
TypePerformanceTest.GetStructLayoutAttribute_Fast_Optimized,0.09362793,0.004638672,0.009918213,0.01333618,0.01953125,0.01171875
TypePerformanceTest.GetStructLayoutAttribute_Legacy,1.778259,0.9678345,0.9404602,0.9508362,0.5703125,0.4414063
TypePerformanceTest.GetTypeHandle_Fast,0.1384277,0.01239014,0.0177002,0.0199585,0.02734375,0.01953125
TypePerformanceTest.GetTypeHandle_Fast_Optimized,0.08825684,0.01159668,0.009643555,0.01373291,0.01953125,0.015625
TypePerformanceTest.GetTypeHandle_Legacy,0.1110229,0.01177979,0.0171814,0.0194397,0.0234375,0.015625
TypePerformanceTest.GetTypeInitializer_Fast,6.521362,4.607788,4.46521,4.59314,3.34375,2.894531
TypePerformanceTest.GetTypeInitializer_Fast_Optimized,0.08001709,0.01226807,0.01373291,0.01345825,0.03125,0.01171875
TypePerformanceTest.GetTypeInitializer_Legacy,6.171692,4.566711,4.477448,4.585846,3.378906,2.882813
TypePerformanceTest.GetUnderlyingSystemType_Fast,0.111145,0.01147461,0.0144043,0.01956177,0.01953125,0.01171875
TypePerformanceTest.GetUnderlyingSystemType_Fast_Optimized,0.08905029,0.01141357,0.00982666,0.01330566,0.01953125,0.01171875
TypePerformanceTest.GetUnderlyingSystemType_Legacy,0.0668335,0.01171875,0.01397705,0.01742554,0.01171875,0.01171875
TypePerformanceTest.HasElementType_Fast,0.2634888,0.09527588,0.1014099,0.1125183,0.03125,0.03515625
TypePerformanceTest.HasElementType_Fast_Optimized,0.09191895,0.01171875,0.009521484,0.01339722,0.01953125,0.015625
TypePerformanceTest.HasElementType_Legacy,0.1914063,0.09570313,0.1002502,0.1127319,0.03125,0.02734375
TypePerformanceTest.IsAbstract_Fast,0.2420044,0.1035156,0.1011047,0.1165466,0.07421875,0.0625
TypePerformanceTest.IsAbstract_Fast_Optimized,0.09881592,0.01171875,0.01364136,0.0140686,0.015625,0.01171875
TypePerformanceTest.IsAbstract_Legacy,0.2111816,0.09698486,0.097229,0.1124878,0.06640625,0.0546875
TypePerformanceTest.IsAnsiClass_Fast,0.187561,0.1043091,0.1000061,0.1125183,0.0703125,0.06640625
TypePerformanceTest.IsAnsiClass_Fast_Optimized,0.07409668,0.00402832,0.009613037,0.01330566,0.01953125,0.01171875
TypePerformanceTest.IsAnsiClass_Legacy,0.1766968,0.1050415,0.09765625,0.1129761,0.0625,0.05859375
TypePerformanceTest.IsArray_Fast,0.2435913,0.09527588,0.09753418,0.1130066,0.03515625,0.03125
TypePerformanceTest.IsArray_Fast_Optimized,0.08850098,0.01165771,0.009552002,0.01351929,0.01953125,0.015625
TypePerformanceTest.IsArray_Legacy,0.1887817,0.09545898,0.09805298,0.1127319,0.03125,0.01953125
TypePerformanceTest.IsAssignableFrom_Fast,0.06500244,0.005126953,0.01403809,0.01330566,0.0234375,0.0234375
TypePerformanceTest.IsAssignableFrom_Legacy,0.3720703,0.2009888,0.2349854,0.2313538,0.359375,0.4101563
TypePerformanceTest.IsAutoClass_Fast,0.2097778,0.1030273,0.09725952,0.1121216,0.078125,0.06640625
TypePerformanceTest.IsAutoClass_Fast_Optimized,0.07440186,0.01159668,0.0133667,0.01428223,0.01171875,0.015625
TypePerformanceTest.IsAutoClass_Legacy,0.1860962,0.09997559,0.1013184,0.1164551,0.0625,0.0546875
TypePerformanceTest.IsAutoLayout_Fast,0.2296143,0.09863281,0.1017456,0.1183167,0.078125,0.06640625
TypePerformanceTest.IsAutoLayout_Fast_Optimized,0.07446289,0.004150391,0.01034546,0.01333618,0.01171875,0.015625
TypePerformanceTest.IsAutoLayout_Legacy,0.2033081,0.09716797,0.1011963,0.1176147,0.0625,0.0546875
TypePerformanceTest.IsByRef_Fast,0.2489014,0.09533691,0.1054688,0.1091309,0.0390625,0.0234375
TypePerformanceTest.IsByRef_Fast_Optimized,0.08050537,0.01159668,0.01000977,0.01339722,0.015625,0.015625
TypePerformanceTest.IsByRef_Legacy,0.2038574,0.09533691,0.09820557,0.109375,0.0234375,0.01953125
TypePerformanceTest.IsByRefLike_Fast,0.1729126,0.08337402,0.0897522,0.1010742,0.0625,0.046875
TypePerformanceTest.IsByRefLike_Fast_Optimized,0.08013916,0.01153564,0.009552002,0.01333618,0.015625,0.01171875
TypePerformanceTest.IsByRefLike_Legacy,0.152832,0.0880127,0.09017944,0.09820557,0.046875,0.04296875
TypePerformanceTest.IsClass_Fast,0.6699829,0.2919922,0.2926941,0.3209839,0.7617188,0.65625
TypePerformanceTest.IsClass_Fast_Optimized,0.09588623,0.01153564,0.01333618,0.01385498,0.01171875,0.01171875
TypePerformanceTest.IsClass_Legacy,0.6566772,0.2938843,0.2806702,0.3183899,0.7460938,0.6523438
TypePerformanceTest.IsCOMObject_Fast,0.274231,0.1110229,0.1134033,0.1318665,0.04296875,0.0234375
TypePerformanceTest.IsCOMObject_Fast_Optimized,0.07421875,0.005126953,0.01339722,0.01419067,0.015625,0.01171875
TypePerformanceTest.IsCOMObject_Legacy,0.2495728,0.1105957,0.1087036,0.1369019,0.01953125,0.01953125
TypePerformanceTest.IsConstructedGenericType_Fast,0.2406616,0.1002808,0.09487915,0.1066589,0.078125,0.06640625
TypePerformanceTest.IsConstructedGenericType_Fast_Optimized,0.09100342,0.01153564,0.01022339,0.01385498,0.01171875,0.015625
TypePerformanceTest.IsConstructedGenericType_Legacy,0.2142944,0.09558105,0.09469604,0.1088257,0.07421875,0.0625
TypePerformanceTest.IsContextful_Fast,0.5378418,0.2487793,0.2507629,0.2816772,0.3554688,0.3046875
TypePerformanceTest.IsContextful_Fast_Optimized,0.08776855,0.004638672,0.009918213,0.01348877,0.01171875,0.015625
TypePerformanceTest.IsContextful_Legacy,0.4186401,0.2424316,0.2502747,0.2882385,0.3398438,0.3007813
TypePerformanceTest.IsEnum_Fast,0.7858887,0.4158936,0.4177246,0.4732056,0.2890625,0.2539063
TypePerformanceTest.IsEnum_Fast_Optimized,0.08813477,0.007751465,0.00982666,0.01345825,0.01953125,0.01171875
TypePerformanceTest.IsEnum_Legacy,0.6495361,0.4158936,0.4177551,0.4750366,0.2773438,0.2460938
TypePerformanceTest.IsExplicitLayout_Fast,0.2494507,0.09838867,0.1010742,0.1168213,0.0859375,0.0625
TypePerformanceTest.IsExplicitLayout_Fast_Optimized,0.1040039,0.004272461,0.009674072,0.01358032,0.015625,0.01171875
TypePerformanceTest.IsExplicitLayout_Legacy,0.170166,0.09747314,0.1014099,0.1088867,0.06640625,0.05859375
TypePerformanceTest.IsGenericMethodParameter_Fast,1.003601,0.2602539,0.2120667,0.250885,0.3242188,0.2851563
TypePerformanceTest.IsGenericMethodParameter_Fast_Optimized,0.09588623,0.01147461,0.009857178,0.01333618,0.015625,0.01171875
TypePerformanceTest.IsGenericMethodParameter_Legacy,0.1630249,0.08837891,0.09173584,0.1051025,0.02734375,0.0234375
TypePerformanceTest.IsGenericParameter_Fast,0.1571655,0.08508301,0.08969116,0.09881592,0.03125,0.0234375
TypePerformanceTest.IsGenericParameter_Fast_Optimized,0.08557129,0.01135254,0.0100708,0.01342773,0.015625,0.015625
TypePerformanceTest.IsGenericParameter_Legacy,0.1364136,0.08026123,0.08969116,0.09735107,0.01953125,0.01953125
TypePerformanceTest.IsGenericType_Fast,0.1716309,0.08319092,0.09390259,0.1014404,0.078125,0.05859375
TypePerformanceTest.IsGenericType_Fast_Optimized,0.08807373,0.004760742,0.00958252,0.009857178,0.015625,0.01171875
TypePerformanceTest.IsGenericType_Legacy,0.1668701,0.0880127,0.09036255,0.1011658,0.05859375,0.05859375
TypePerformanceTest.IsGenericTypeDefinition_Fast,0.1798706,0.09008789,0.09259033,0.105072,0.05859375,0.05078125
TypePerformanceTest.IsGenericTypeDefinition_Fast_Optimized,0.08233643,0.004272461,0.00958252,0.01379395,0.015625,0.01171875
TypePerformanceTest.IsGenericTypeDefinition_Legacy,0.151123,0.09002686,0.09356689,0.1060181,0.0546875,0.05078125
TypePerformanceTest.IsGenericTypeParameter_Fast,1.041199,0.2463379,0.2120667,0.257019,0.3242188,0.2851563
TypePerformanceTest.IsGenericTypeParameter_Fast_Optimized,0.07562256,0.004699707,0.009765625,0.01342773,0.01953125,0.01171875
TypePerformanceTest.IsGenericTypeParameter_Legacy,0.1506958,0.08764648,0.0909729,0.1049805,0.03125,0.0234375
TypePerformanceTest.IsImport_Fast,0.1879883,0.1043701,0.09689331,0.1086731,0.08203125,0.0625
TypePerformanceTest.IsImport_Fast_Optimized,0.08074951,0.005615234,0.009857178,0.01330566,0.015625,0.01953125
TypePerformanceTest.IsImport_Legacy,0.1646729,0.1034546,0.09732056,0.1087952,0.0625,0.05859375
TypePerformanceTest.IsInterface_Fast,0.3547974,0.1193237,0.1203918,0.1430969,0.1054688,0.0859375
TypePerformanceTest.IsInterface_Fast_Optimized,0.08776855,0.006103516,0.009857178,0.01443481,0.015625,0.01171875
TypePerformanceTest.IsInterface_Legacy,0.3168335,0.1184082,0.1214294,0.15448,0.09375,0.0859375
TypePerformanceTest.IsLayoutSequential_Fast,0.2370605,0.09936523,0.09616089,0.1115112,0.078125,0.06640625
TypePerformanceTest.IsLayoutSequential_Fast_Optimized,0.08795166,0.01159668,0.01364136,0.01342773,0.015625,0.015625
TypePerformanceTest.IsLayoutSequential_Legacy,0.1876831,0.09588623,0.1011353,0.1169434,0.0625,0.05859375
TypePerformanceTest.IsMarshalByRef_Fast,0.454895,0.232605,0.2465515,0.2607117,0.3554688,0.3242188
TypePerformanceTest.IsMarshalByRef_Fast_Optimized,0.09350586,0.00402832,0.0135498,0.01443481,0.01953125,0.015625
TypePerformanceTest.IsMarshalByRef_Legacy,0.3996582,0.2411499,0.242218,0.2563782,0.3515625,0.3085938
TypePerformanceTest.IsNested_Fast,0.196167,0.08776855,0.09368896,0.1203613,0.08203125,0.0703125
TypePerformanceTest.IsNested_Fast_Optimized,0.09014893,0.01202393,0.00958252,0.01333618,0.01953125,0.01171875
TypePerformanceTest.IsNested_Legacy,0.2133789,0.0892334,0.09353638,0.1072693,0.06640625,0.0546875
TypePerformanceTest.IsNestedAssembly_Fast,0.1872559,0.09637451,0.1034241,0.1138916,0.078125,0.0625
TypePerformanceTest.IsNestedAssembly_Fast_Optimized,0.07299805,0.01165771,0.0133667,0.01364136,0.01953125,0.01171875
TypePerformanceTest.IsNestedAssembly_Legacy,0.1668091,0.09729004,0.1012573,0.1169128,0.0625,0.0546875
TypePerformanceTest.IsNestedFamANDAssem_Fast,0.196167,0.09545898,0.1017456,0.1126099,0.07421875,0.0625
TypePerformanceTest.IsNestedFamANDAssem_Fast_Optimized,0.08081055,0.00390625,0.00994873,0.01342773,0.01171875,0.01171875
TypePerformanceTest.IsNestedFamANDAssem_Legacy,0.1639404,0.09649658,0.1024475,0.1127014,0.0625,0.0546875
TypePerformanceTest.IsNestedFamily_Fast,0.2028809,0.09588623,0.1010742,0.1134338,0.07421875,0.0625
TypePerformanceTest.IsNestedFamily_Fast_Optimized,0.08831787,0.01190186,0.01342773,0.01394653,0.015625,0.015625
TypePerformanceTest.IsNestedFamily_Legacy,0.1746826,0.1029053,0.1011658,0.1135559,0.0625,0.0546875
TypePerformanceTest.IsNestedFamORAssem_Fast,0.2043457,0.09552002,0.09771729,0.1128235,0.078125,0.0625
TypePerformanceTest.IsNestedFamORAssem_Fast_Optimized,0.08074951,0.004211426,0.00958252,0.01345825,0.015625,0.0234375
TypePerformanceTest.IsNestedFamORAssem_Legacy,0.1567383,0.104248,0.1002808,0.1163025,0.06640625,0.0546875
TypePerformanceTest.IsNestedPrivate_Fast,0.1821289,0.100708,0.09762573,0.1145935,0.07421875,0.0625
TypePerformanceTest.IsNestedPrivate_Fast_Optimized,0.07788086,0.01177979,0.01342773,0.01358032,0.015625,0.01171875
TypePerformanceTest.IsNestedPrivate_Legacy,0.1781616,0.0980835,0.09860229,0.1166992,0.0625,0.0546875
TypePerformanceTest.IsNestedPublic_Fast,0.2044067,0.09527588,0.09396362,0.117157,0.07421875,0.05859375
TypePerformanceTest.IsNestedPublic_Fast_Optimized,0.08789063,0.01153564,0.0133667,0.01364136,0.015625,0.01171875
TypePerformanceTest.IsNestedPublic_Legacy,0.1968994,0.09533691,0.1012573,0.1092529,0.06640625,0.05859375
TypePerformanceTest.IsNotPublic_Fast,0.213562,0.1040039,0.09783936,0.112854,0.07421875,0.0625
TypePerformanceTest.IsNotPublic_Fast_Optimized,0.08007813,0.01159668,0.01348877,0.01333618,0.015625,0.01171875
TypePerformanceTest.IsNotPublic_Legacy,0.180481,0.1036987,0.1011047,0.1166382,0.06640625,0.0546875
TypePerformanceTest.IsPointer_Fast,0.2097168,0.09545898,0.09890747,0.1105957,0.02734375,0.0234375
TypePerformanceTest.IsPointer_Fast_Optimized,0.08227539,0.01159668,0.01034546,0.01333618,0.01953125,0.01953125
TypePerformanceTest.IsPointer_Legacy,0.2105713,0.09545898,0.09753418,0.1092529,0.0234375,0.01953125
TypePerformanceTest.IsPrimitive_Fast,0.2805786,0.09558105,0.102417,0.1125793,0.03125,0.0234375
TypePerformanceTest.IsPrimitive_Fast_Optimized,0.09545898,0.003967285,0.0133667,0.01428223,0.015625,0.015625
TypePerformanceTest.IsPrimitive_Legacy,0.2092896,0.09533691,0.1011963,0.1128235,0.02734375,0.015625
TypePerformanceTest.IsPublic_Fast,0.1890259,0.1031494,0.1011353,0.1115112,0.0703125,0.0625
TypePerformanceTest.IsPublic_Fast_Optimized,0.09527588,0.01171875,0.01339722,0.01342773,0.01953125,0.015625
TypePerformanceTest.IsPublic_Legacy,0.1651001,0.0960083,0.1016235,0.1127014,0.0625,0.05859375
TypePerformanceTest.IsSealed_Fast,0.2109375,0.1046753,0.09741211,0.116333,0.07421875,0.0625
TypePerformanceTest.IsSealed_Fast_Optimized,0.09552002,0.005004883,0.009735107,0.01361084,0.015625,0.01171875
TypePerformanceTest.IsSealed_Legacy,0.1658936,0.1027222,0.101532,0.117218,0.06640625,0.0546875
TypePerformanceTest.IsSerializable_Fast,2.326782,1.233154,1.25116,1.399628,1.738281,1.570313
TypePerformanceTest.IsSerializable_Fast_Optimized,0.07421875,0.004272461,0.01025391,0.01333618,0.015625,0.01171875
TypePerformanceTest.IsSerializable_Legacy,2.270813,1.240906,1.249695,1.398071,1.707031,1.5625
TypePerformanceTest.IsSignatureType_Fast,0.1074219,0.01153564,0.01419067,0.01867676,0.0234375,0.015625
TypePerformanceTest.IsSignatureType_Fast_Optimized,0.08270264,0.004699707,0.01358032,0.0133667,0.015625,0.01171875
TypePerformanceTest.IsSignatureType_Legacy,0.07287598,0.01184082,0.01727295,0.01757813,0.0078125,0.0078125
TypePerformanceTest.IsSpecialName_Fast,0.1968994,0.1029663,0.1012573,0.1173706,0.078125,0.0625
TypePerformanceTest.IsSpecialName_Fast_Optimized,0.07513428,0.01147461,0.01339722,0.0135498,0.01171875,0.015625
