Name,Editor(Develop),Editor(Release),Mono(Develop),Mono(Release),IL2CPP(Develop),IL2CPP(Release)
FieldInfoPerformanceTest.GetClassInstanceValue_FieldPointer_UpCastFromStruct,2.436401,1.43866,1.45282,1.551956,1.011719,0.8808594
FieldInfoPerformanceTest.GetClassInstanceValue_Legacy,1.816406,1.412811,1.403564,1.511978,0.921875,0.7910156
FieldInfoPerformanceTest.GetClassInstanceValue_LowAlloc,2.221191,1.490631,1.460098,1.564987,0.9609375,0.8476563
FieldInfoPerformanceTest.GetStaticValue_Fast,1.114014,0.2361145,0.2137909,0.2355499,0.3222656,0.2871094
FieldInfoPerformanceTest.GetStaticValue_Fast_DownCast,2.977112,1.179535,1.216507,1.3302,0.6757813,0.7324219
FieldInfoPerformanceTest.GetStaticValue_Fast_DownCastToStruct,2.757935,1.169281,1.166321,1.315765,0.6777344,0.640625
FieldInfoPerformanceTest.GetStaticValue_Fast_UpCast,1.141663,0.2536011,0.2317505,0.2516479,0.3242188,0.2929688
FieldInfoPerformanceTest.GetStaticValue_Fast_UpCastFromStruct,3.288452,1.39209,1.39505,1.486023,0.9511719,0.8574219
FieldInfoPerformanceTest.GetStaticValue_FieldPointer,0.08905029,0.0133667,0.01437378,0.01635742,0.015625,0.01171875
FieldInfoPerformanceTest.GetStaticValue_FieldPointer_DownCast,1.682007,0.9647827,0.9625092,1.123886,0.4238281,0.4257813
FieldInfoPerformanceTest.GetStaticValue_FieldPointer_DownCastToStruct,1.513306,0.9605103,0.9623718,1.089722,0.375,0.34375
FieldInfoPerformanceTest.GetStaticValue_FieldPointer_UpCast,0.08996582,0.01342773,0.01693726,0.01428223,0.01171875,0.009765625
FieldInfoPerformanceTest.GetStaticValue_FieldPointer_UpCastFromStruct,1.979553,1.205322,1.187332,1.267746,0.6308594,0.5644531
FieldInfoPerformanceTest.GetStaticValue_Legacy,1.727722,1.17511,1.1716,1.239502,0.6152344,0.5097656
FieldInfoPerformanceTest.GetStructInstanceValue_Fast,1.130371,0.2336426,0.2119751,0.2412567,0.3242188,0.2851563
FieldInfoPerformanceTest.GetStructInstanceValue_Fast_DownCast,4.134949,2.054596,2.001556,2.251419,1.5,1.337891
FieldInfoPerformanceTest.GetStructInstanceValue_Fast_DownCastToStruct,4.100464,2.02887,1.986237,2.261292,1.439453,1.287109
FieldInfoPerformanceTest.GetStructInstanceValue_Fast_UpCast,1.030457,0.239502,0.2145691,0.237793,0.3242188,0.2851563
FieldInfoPerformanceTest.GetStructInstanceValue_Fast_UpCastFromStruct,4.512085,2.278717,2.23024,2.453552,1.798828,1.521484
FieldInfoPerformanceTest.GetStructInstanceValue_FieldPointer,0.1039429,0.01400757,0.01651001,0.01934814,0.01757813,0.01367188
FieldInfoPerformanceTest.GetStructInstanceValue_FieldPointer_DownCast,2.984009,1.834808,1.818527,2.026077,1.158203,1.037109
FieldInfoPerformanceTest.GetStructInstanceValue_FieldPointer_DownCastToStruct,2.901917,1.836243,1.822678,2.026535,1.074219,1.005859
FieldInfoPerformanceTest.GetStructInstanceValue_FieldPointer_UpCast,0.09893799,0.01342773,0.01756287,0.01834106,0.015625,0.015625
FieldInfoPerformanceTest.GetStructInstanceValue_FieldPointer_UpCastFromStruct,3.328674,2.081024,2.059799,2.200638,1.431641,1.240234
FieldInfoPerformanceTest.GetStructInstanceValue_Legacy,2.506348,2.074158,2.024078,2.123917,1.296875,1.126953
FieldInfoPerformanceTest.GetStructInstanceValue_LowAlloc,3.246704,2.063202,2.018478,2.190628,1.291016,1.117188
FieldInfoPerformanceTest.SetClassInstanceValue_Fast,1.16217,0.2447815,0.2271118,0.2623749,0.3261719,0.2871094
FieldInfoPerformanceTest.SetClassInstanceValue_Fast_DownCast,4.555176,1.22287,1.029037,1.075134,1.892578,1.662109
FieldInfoPerformanceTest.SetClassInstanceValue_Fast_DownCastToStruct,4.271301,2.256622,2.100082,2.388336,1.648438,1.472656
FieldInfoPerformanceTest.SetClassInstanceValue_Fast_UpCast,1.552917,0.6924133,0.5641327,0.5430603,0.640625,0.5507813
FieldInfoPerformanceTest.SetClassInstanceValue_Fast_UpCastFromStruct,4.33606,1.812622,1.751053,1.987854,1.697266,1.619141
FieldInfoPerformanceTest.SetClassInstanceValue_FieldPointer,0.09979248,0.01724243,0.0201416,0.02165222,0.01953125,0.01757813
FieldInfoPerformanceTest.SetClassInstanceValue_FieldPointer_DownCast,3.392944,0.8604431,0.841156,0.8534546,1.601563,1.392578
FieldInfoPerformanceTest.SetClassInstanceValue_FieldPointer_DownCastToStruct,3.146912,1.900024,1.933304,2.11116,1.261719,1.09375
FieldInfoPerformanceTest.SetClassInstanceValue_FieldPointer_UpCast,0.4873657,0.3759155,0.3833008,0.3247223,0.3242188,0.265625
FieldInfoPerformanceTest.SetClassInstanceValue_FieldPointer_UpCastFromStruct,3.19281,1.535156,1.521851,1.722214,1.355469,1.244141
FieldInfoPerformanceTest.SetClassInstanceValue_Legacy,2.621887,1.839233,1.839081,1.992188,1.203125,1.054688
FieldInfoPerformanceTest.SetClassInstanceValue_LowAlloc,3.285217,1.876465,1.873154,2.112381,1.335938,1.228516
FieldInfoPerformanceTest.SetStaticValue_Fast,1.207703,0.3002625,0.2663269,0.2593842,0.3730469,0.2910156
